左營,台南,嘉義,雲林,彰化,台中,苗栗,新竹,桃園,板橋,台北,南港,車次,行駛日, 
Zouying,Tainan,Chiayi,Yunlin,Changhua,Taichung,Miaoli,Hsinchu,Taoyuan,Banqiao,Taipei,Nangang,car,day, 
17:35,17:48,18:08,,,18:32,,18:57,19:11,19:25,19:36,19:45,670,1234567, 
17:55,,,,,18:39,,,,19:21,19:32,19:40,148,1234567, 
18:00,18:13,18:32,,,19:00,,19:25,19:38,19:51,20:02,20:10,672,1234567, 
,,,,,19:04,19:24,19:39,19:51,20:05,20:16,20:25,1558,57, 
18:15,18:28,,,,19:08,,,,19:47,19:57,20:05,1250,57, 
18:25,18:41,19:00,19:12,19:24,19:36,19:56,20:08,20:20,20:32,20:42,20:50,850,1234567, 
18:35,18:48,19:08,,,19:32,,19:57,20:11,20:25,20:36,20:45,676,1234567, 
18:45,18:58,19:19,19:31,19:41,19:53,,,20:27,,20:47,20:55,1326,7, 
18:55,,,,,19:39,,,,20:21,20:32,20:40,152,1234567, 
19:00,19:13,19:32,,,20:00,,20:25,20:38,20:51,21:02,21:10,678,1234567, 
,,,,,20:04,20:24,20:39,20:51,21:05,21:16,21:25,1562,7, 
19:15,19:28,,,,20:08,,,,20:47,20:57,21:05,1254,857, 
19:25,19:41,20:00,20:12,20:24,20:36,20:56,21:08,21:20,21:32,21:42,21:50,854,1234567, 
19:35,19:48,20:08,,,20:32,,20:57,21:11,21:25,21:36,21:45,1682,567, 
19:45,19:58,20:19,20:31,20:41,20:53,,,21:27,,21:47,21:55,1328,7, 
19:55,,,,,20:39,,,,21:21,21:32,21:40,156,1234567, 
20:00,20:13,20:32,,,21:00,,21:25,21:38,21:51,22:02,22:10,684,1234567, 
,,,,,21:04,21:24,21:39,21:51,22:05,22:16,22:25,1566,7, 
20:15,20:28,,,,21:08,,,,21:47,21:57,22:05,1258,7, 
20:25,20:41,21:00,21:12,21:24,21:36,21:56,22:08,22:20,22:32,22:42,22:50,858,1234567, 
20:35,20:48,21:08,,,21:32,,21:57,22:11,22:25,22:36,22:45,1688,567, 
20:45,20:58,21:19,21:31,21:42,21:54,,,22:27,,22:47,22:55,1330,7, 
20:55,,,,,21:39,,,,22:21,22:32,22:40,160,1234567, 
,,,,,21:51,22:10,22:23,22:36,22:49,23:01,23:10,1570,7, 
21:05,21:18,21:37,,,22:05,,22:30,22:43,22:56,23:07,23:15,690,1234567, 
21:30,21:44,22:03,22:16,22:28,22:40,23:00,23:12,23:25,23:37,23:47,23:55,862,1234567, 
21:40,21:53,,,,22:30,,,,23:11,23:21,23:30,1264,57, 
21:55,22:11,22:32,,,22:59,,23:27,23:40,23:52,23:59,,696,1234567, 
